ID,OFFER_ID,TYPE,AMOUNT,CREATED_AT,UPDATED_AT
805188,768384,OfferReward::Instant,1.5,2021-03-24 21:01:59.000,2021-03-24 21:01:59.000
805187,768383,OfferReward::Instant,1.5,2021-03-24 21:01:59.000,2021-03-24 21:01:59.000
805186,768382,OfferReward::Instant,1.5,2021-03-24 21:01:59.000,2021-03-24 21:01:59.000
805185,768381,OfferReward::Instant,1.5,2021-03-24 21:01:57.000,2021-03-24 21:01:57.000
805184,768380,OfferReward::Instant,1.5,2021-03-24 21:01:57.000,2021-03-24 21:01:57.000
805183,768379,OfferReward::Instant,1.5,2021-03-24 21:01:57.000,2021-03-24 21:01:57.000
805182,768378,OfferReward::Instant,1.5,2021-03-24 21:01:56.000,2021-03-24 21:01:56.000
805181,768377,OfferReward::Instant,1.5,2021-03-24 21:01:51.000,2021-03-24 21:01:51.000
805180,768376,OfferReward::Instant,1.5,2021-03-24 21:01:51.000,2021-03-24 21:01:51.000
805179,768375,OfferReward::Instant,1.5,2021-03-24 21:01:51.000,2021-03-24 21:01:51.000
805178,768374,OfferReward::Instant,1.5,2021-03-24 21:01:51.000,2021-03-24 21:01:51.000
805177,768373,OfferReward::Fact,1.25,2021-03-24 21:00:10.000,2021-03-24 21:13:15.000
805176,768372,OfferReward::Instant,2,2021-03-24 20:49:11.000,2021-03-24 21:02:05.000
805175,768371,OfferReward::Instant,1.5,2021-03-24 20:49:08.000,2021-03-24 21:01:59.000
805174,768370,OfferReward::Instant,1.5,2021-03-24 20:49:04.000,2021-03-24 21:01:56.000
805173,768369,OfferReward::Instant,1.5,2021-03-24 20:49:01.000,2021-03-24 21:01:51.000
805172,768368,OfferReward::ShopNow,1,2021-03-24 20:47:39.000,2021-03-24 20:47:39.000
805171,768367,OfferReward::ShopNow,0,2021-03-24 20:46:31.000,2021-03-24 20:46:31.000
805170,768366,OfferReward::Fact,0.5,2021-03-24 20:43:37.000,2021-03-24 20:43:37.000
805169,768365,OfferReward::Fact,0.5,2021-03-24 20:43:37.000,2021-03-24 20:43:37.000
805168,768364,OfferReward::Fact,0.5,2021-03-24 20:43:36.000,2021-03-24 20:43:36.000
805167,768363,OfferReward::Fact,0.5,2021-03-24 20:43:36.000,2021-03-24 20:43:36.000
805166,768362,OfferReward::ShopNow,0,2021-03-24 20:40:53.000,2021-03-24 20:40:53.000
805164,768361,OfferReward::Fact,0.5,2021-03-24 20:40:38.000,2021-03-24 20:40:38.000
805163,768360,OfferReward::Fact,0.75,2021-03-24 20:35:04.000,2021-03-24 20:35:04.000
805162,768359,OfferReward::Fact,0.5,2021-03-24 20:34:59.000,2021-03-24 20:43:36.000
805161,768358,OfferReward::ShopNow,0,2021-03-24 20:33:23.000,2021-03-24 20:33:23.000
805165,768357,OfferReward::Instant,2,2021-03-24 20:40:51.000,2021-03-24 20:40:51.000
805160,768356,OfferReward::Fact,0.75,2021-03-24 20:28:30.000,2021-03-24 20:28:30.000
805159,768355,OfferReward::Fact,0.75,2021-03-24 20:28:30.000,2021-03-24 20:28:30.000
805158,768354,OfferReward::Fact,0.75,2021-03-24 20:28:30.000,2021-03-24 20:28:30.000
805157,768353,OfferReward::Fact,0.75,2021-03-24 20:28:30.000,2021-03-24 20:28:30.000
805156,768352,OfferReward::Fact,0.75,2021-03-24 20:28:30.000,2021-03-24 20:28:30.000
805155,768351,OfferReward::ShopNow,0,2021-03-24 20:26:03.000,2021-03-24 20:26:03.000
805154,768350,OfferReward::Fact,0.5,2021-03-24 20:21:21.000,2021-03-24 20:21:21.000
805153,768349,OfferReward::Fact,0.5,2021-03-24 20:21:20.000,2021-03-24 20:21:20.000
805152,768348,OfferReward::Fact,0.5,2021-03-24 20:21:20.000,2021-03-24 20:21:20.000
805151,768347,OfferReward::Fact,0.5,2021-03-24 20:21:20.000,2021-03-24 20:21:20.000
805150,768346,OfferReward::Fact,0.75,2021-03-24 20:18:30.000,2021-03-24 20:18:30.000
805149,768345,OfferReward::Fact,0.75,2021-03-24 20:18:30.000,2021-03-24 20:18:30.000
805148,768344,OfferReward::Fact,0.75,2021-03-24 20:18:30.000,2021-03-24 20:18:30.000
805147,768343,OfferReward::Fact,0.75,2021-03-24 20:18:29.000,2021-03-24 20:18:29.000
805146,768342,OfferReward::ShopNow,10,2021-03-24 20:07:32.000,2021-03-24 20:07:32.000
805145,768341,OfferReward::ShopNow,0,2021-03-24 20:06:27.000,2021-03-24 22:27:28.000
805144,768340,OfferReward::ShopNow,25,2021-03-24 20:02:49.000,2021-03-24 20:02:49.000
805143,768339,OfferReward::Poll,0.75,2021-03-24 19:51:24.000,2021-03-24 19:56:48.000
805142,768338,OfferReward::Instant,1,2021-03-24 19:50:11.000,2021-03-24 19:50:11.000
